"DOWN","YTG","FIELD_LOC","FIRST_DOWN_PCT","SNAPS"
2,15,"My Goal to my 19",34.7,528
2,15,"Your 19 to your Goal",39,136
2,15,"Your 39 to your 20",45.8,592
2,16,"My 20 to my 39",34.2,473
2,16,"My 40 to your 40",46.8,387
2,16,"My Goal to my 19",30.9,333
2,16,"Your 19 to your Goal",39.7,63
2,16,"Your 39 to your 20",40.8,287
2,17,"My 20 to my 39",34.3,402
2,17,"My 40 to your 40",41,356
2,17,"My Goal to my 19",33.1,320
2,17,"Your 19 to your Goal",30,40
2,17,"Your 39 to your 20",40,210
2,18,"My 20 to my 39",29.4,327
2,18,"My 40 to your 40",36,250
2,18,"My Goal to my 19",31.4,239
2,18,"Your 19 to your Goal",20.8,24
2,18,"Your 39 to your 20",39.8,176
2,19,"My 20 to my 39",34.6,266
2,19,"My 40 to your 40",33.5,215
2,19,"My Goal to my 19",27.7,213
2,19,"Your 39 to your 20",38.7,150
2,20,"My 20 to my 39",27.4,398
2,20,"My 40 to your 40",29,335
2,20,"My Goal to my 19",30.7,283
2,20,"Your 39 to your 20",28.9,246
2,21,"My 20 to my 39",27.5,160
2,21,"My 40 to your 40",31.6,114
2,21,"My Goal to my 19",22.9,109
2,21,"Your 39 to your 20",33,100
2,22,"My 20 to my 39",27,122
2,22,"My 40 to your 40",20.4,113
2,22,"My Goal to my 19",18.5,108
2,22,"Your 39 to your 20",31.3,80
2,23,"My 20 to my 39",15.9,69
2,23,"My 40 to your 40",21.9,73
2,23,"My Goal to my 19",22.8,79
2,23,"Your 39 to your 20",35.7,42
2,24,"My 20 to my 39",27.6,76
2,24,"My 40 to your 40",21.3,47
2,24,"My Goal to my 19",27.6,58
2,24,"Your 39 to your 20",20,35
2,25,"My 20 to my 39",27.4,124
2,25,"My 40 to your 40",17,88
2,25,"My Goal to my 19",15.6,64
2,25,"Your 39 to your 20",25.4,59
2,26,"My 20 to my 39",10.3,29
2,26,"My 40 to your 40",28.9,45
2,26,"My Goal to my 19",18.2,33
2,26,"Your 39 to your 20",17.6,17
2,27,"My 20 to my 39",18.2,33
2,27,"My 40 to your 40",18.2,22
2,27,"My Goal to my 19",16.7,18
2,27,"Your 39 to your 20",66.7,6
2,28,"My 20 to my 39",30,20
2,28,"My 40 to your 40",5.3,19
2,28,"My Goal to my 19",19,21
2,28,"Your 39 to your 20",25,8
2,29,"My 20 to my 39",30.8,13
2,29,"My 40 to your 40",20,10
2,29,"My Goal to my 19",14.3,21
2,29,"Your 39 to your 20",16.7,6
2,30,"My 20 to my 39",0,14
2,30,"My 40 to your 40",33.3,21
2,30,"My Goal to my 19",12.5,16
2,30,"Your 39 to your 20",9.1,11
2,31,"My 20 to my 39",20,5
2,31,"My 40 to your 40",16.7,6
2,31,"My Goal to my 19",28.6,7
2,31,"Your 39 to your 20",14.3,7
2,32,"My 20 to my 39",20,5
2,32,"My 40 to your 40",20,5
2,32,"My Goal to my 19",0,1
2,33,"My 20 to my 39",16.7,6
2,33,"My 40 to your 40",16.7,6
2,33,"My Goal to my 19",12.5,8
2,33,"Your 39 to your 20",0,1
2,34,"My 20 to my 39",0,5
2,34,"My 40 to your 40",0,1
2,34,"My Goal to my 19",33.3,3
2,35,"My 20 to my 39",0,6
2,35,"My 40 to your 40",0,4
2,35,"My Goal to my 19",0,1
2,36,"My 20 to my 39",25,4
2,36,"My Goal to my 19",0,2
2,37,"My 20 to my 39",0,1
2,37,"My 40 to your 40",0,1
2,37,"Your 39 to your 20",0,1
2,38,"My Goal to my 19",0,1
2,40,"My 20 to my 39",0,1
2,40,"My 40 to your 40",50,2
2,42,"My 20 to my 39",0,1
2,42,"My 40 to your 40",100,1
2,42,"My Goal to my 19",0,2
2,46,"My Goal to my 19",0,1
2,56,"My 20 to my 39",0,1
3,1,"My 20 to my 39",75.6,3509
3,1,"My 40 to your 40",80.8,3626
3,1,"My Goal to my 19",79.8,415
3,1,"Your 19 to your Goal",80.5,2911
3,1,"Your 39 to your 20",86.8,2371
3,2,"My 20 to my 39",64.5,2600
3,2,"My 40 to your 40",68.1,2855
3,2,"My Goal to my 19",58.5,386
3,2,"Your 19 to your Goal",65.9,1847
3,2,"Your 39 to your 20",77.7,1777
3,3,"My 20 to my 39",56.1,2748
3,3,"My 40 to your 40",60.4,2760
3,3,"My Goal to my 19",56.9,457
3,3,"Your 19 to your Goal",56.4,1719
3,3,"Your 39 to your 20",68,1823
3,4,"My 20 to my 39",51.4,2852
