"YTG_START","QTR_START","T_ELAPSED","TOT_YDS","FIRST_DOWNS","NPLAYS","POINTS","PLAYS_PER_1STDOWN","FG","TD","INT","FUMBLE","BLITZ_PER_PLAY","YDS_PER_PLAY","CARRY","ATT"
90,1,392,69,4,11,3,2.2,1,0,0,0,0.18,6.73,4,10.8
92,1,128,7,0,3,0,3,0,0,0,0,0.33,2.33,2,2.5
53,2,15,8,0,2,0,2,0,0,0,0,0,4,8,0
73,1,126,-7,0,3,0,3,0,0,0,0,0,-2.33,1,0
80,1,164,80,4,6,7,1.2,0,1,0,0,0.17,10.83,7,11.6
77,2,268,29,2,7,0,2.3,0,0,0,0,0.14,4.14,1.5,7.67
80,1,249,80,6,8,7,1.1,0,1,0,0,0.25,10,9.8,10.33
80,3,84,60,1,5,0,2.5,0,0,0,0,0.4,12,0,12
66,3,311,66,5,10,7,1.7,0,1,0,0,0.2,6.4,3.5,8.6
92,2,177,27,1,5,0,2.5,0,0,0,0,0.4,5.4,14,3.25
76,1,288,45,3,10,0,2.5,0,0,0,0,0.4,4.5,4.5,5.4
55,2,62,5,0,3,0,3,0,0,1,0,0.33,9,0,9
76,1,112,3,0,3,0,3,0,0,0,0,0.33,1,1,0
71,1,315,71,5,9,7,1.5,0,1,0,0,0.22,6.67,5.6,10
27,4,114,27,2,4,7,1.3,0,1,0,0,0.25,13,-0.5,17.67
80,1,152,21,1,5,0,2.5,0,0,0,0,0.6,6.6,3,6
84,3,295,44,2,8,0,2.7,0,0,0,0,0.13,7,1.75,9.8
91,1,441,91,7,16,7,2,0,1,0,0,0.44,5.06,3.14,5.9
73,1,129,73,4,5,7,1,0,1,0,0,0,14.6,7,26
61,4,82,-16,0,3,0,3,0,0,0,0,0.67,-2,0,0
80,3,88,9,0,3,0,3,0,0,0,0,0.33,4.33,2.67,1.67
80,3,82,2,1,4,0,2,0,0,0,0,0.5,0.5,0,8
91,2,225,32,2,7,0,2.3,0,0,0,0,0.57,6.71,0,5.88
82,1,184,22,2,5,0,1.7,0,0,0,0,0,3.4,3.33,2.33
79,1,176,33,1,5,0,2.5,0,0,0,0,0,6.6,8.25,0
30,4,180,6,1,5,0,2.5,0,0,0,0,0,1.2,1.2,0
84,1,175,22,1,5,0,2.5,0,0,0,0,0.2,4.4,4,4.5
75,1,215,13,1,6,0,3,0,0,0,0,0.5,2.17,3,1.33
75,2,36,2,0,1,0,1,0,0,0,0,0,2,0,2
74,3,183,13,1,5,0,2.5,0,0,0,0,0.4,3.6,4.5,3
77,1,289,56,3,11,3,2.8,1,0,0,0,0.36,5.09,2,8
80,2,118,15,3,4,0,1,0,0,0,0,0.25,1.25,0,3
74,4,16,74,1,1,7,0.5,0,1,0,0,1,79,79,0
80,2,138,14,1,5,0,2.5,0,0,0,0,0.4,0.6,0,0.6
40,3,149,17,1,6,0,3,0,0,0,0,0.17,5.5,8,5.67
70,3,168,22,2,7,0,2.3,0,0,0,0,0.57,2.43,0.5,3.2
62,1,63,0,0,3,0,3,0,0,0,0,0.67,0,0,0
74,1,123,17,1,5,0,2.5,0,0,1,0,0.2,6.6,5.67,8
85,1,357,59,3,12,0,3,0,0,0,0,0.08,4.92,6.4,4.5
71,4,156,71,7,7,7,0.9,0,1,0,0,0.14,7.71,7.67,5.17
85,1,178,16,1,6,0,3,0,0,0,0,0.17,2.67,0.5,3.75
82,1,95,34,1,4,0,2,0,0,0,1,0.5,8.5,12,5
