"NAME","P1","P2","P3","P4","P5","BLITZ_PROB","YDS_PER_PLAY","COMPL_PRCNT","YDS_PER_CARRY","YDS_PER_COMP","YDS_PER_ATT"
"Fresno State Bulldogs","Total","Total","Total","Total","Total",0.17,5.2,59,4.9,10.6,6
"Fresno State Bulldogs","Josh Harper","Greg Watson","Aaron Peck","Marteze Waller","Chad Olsen",0.28,4.4,65.4,2.2,11.7,7.7
"Fresno State Bulldogs","Josh Harper","Greg Watson","Marteze Waller","Delvon Hardaway","Chad Olsen",0.14,5.3,55.6,6.6,4.6,2.3
"Fresno State Bulldogs","Josh Quezada","Josh Harper","Greg Watson","Aaron Peck","Chad Olsen",0.16,4.5,57.7,4.6,8.4,4.5
"Georgia Bulldogs","Total","Total","Total","Total","Total",0.15,6.5,68.7,6.2,12,8.1
"Georgia Bulldogs","Michael Bennett","Chris Conley","Malcolm Mitchell","Jeb Blazevich","Nick Chubb",0.23,6.5,66.7,5.5,12.5,8.2
"Georgia Tech Yellow Jackets","Total","Total","Total","Total","Total",0.1,6.5,56.4,6.2,17.8,9.3
"Georgia Tech Yellow Jackets","Synjyn Days","Deon Hill","Tony Zenon","Darren Waller","DeAndre Smelter",0.11,5.8,50,5.8,12.1,5.7
"Hawaii Rainbow Warriors","Quinton Pedroza","Scott Harding","Steven Lakalaka","Harold Moleni","Marcus Kemp",0.15,4.2,46.8,2.9,11.9,5.6
"Hawaii Rainbow Warriors","Total","Total","Total","Total","Total",0.21,4.6,49.6,4,12.1,6
"Hawaii Rainbow Warriors","Jordan Pu'u-Robinson","Quinton Pedroza","Scott Harding","Steven Lakalaka","Marcus Kemp",0.26,4.3,51.5,2.5,11.6,5.8
"Houston Cougars","Markeith Ambles","Wayne Beadle","Kenneth Farrow","Deontay Greenberry","Steven Dunbar",0.14,8,77.8,8.4,10.9,8
"Houston Cougars","Markeith Ambles","Kenneth Farrow","Daniel Spencer","Deontay Greenberry","Greg Ward Jr.",0.28,6.3,57.8,6,11.7,6.8
"Houston Cougars","Markeith Ambles","Kenneth Farrow","Deontay Greenberry","Demarcus Ayers","Steven Dunbar",0.21,8.3,64.1,9.2,13.5,8.9
"Houston Cougars","Markeith Ambles","Wayne Beadle","Ryan Jackson","Deontay Greenberry","Demarcus Ayers",0.14,4.1,68.8,3.4,8.6,5.9
