REBOUNDER,WIN_LOSS,X,Y
Tristan Thompson,L,5.85007,27.60802
Anderson Varejao,W,10.50189,7.89048
Shawn Marion,W,9.07223,20.44348
Tristan Thompson,W,14.3843,27.09145
Tristan Thompson,W,14.11174,20.81209
Tristan Thompson,W,26.10868,38.35378
LeBron James,W,17.17926,43.15467
Tristan Thompson,W,16.77793,23.26764
Kevin Love,W,26.04553,38.2736
Tristan Thompson,W,7.63069,2.84575
Tristan Thompson,W,3.76078,2.49183
Louis Amundson,W,29.56924,20.27491
Timofey Mozgov,L,4.36155,21.83845
Matthew Dellavedova,L,12.04833,21.41784
Kevin Love,L,4.31089,47.23844
Tristan Thompson,L,28.51769,15.73054
Timofey Mozgov,L,9.02799,22.6439
Kevin Love,L,7.99609,22.70802
Timofey Mozgov,L,6.42248,13.06364
Timofey Mozgov,L,20.76806,39.14792
Iman Shumpert,L,6.98652,29.72335
Iman Shumpert,L,5.241,2.0477
Iman Shumpert,L,30.76956,31.01003
Matthew Dellavedova,L,27.28883,38.95664
Kevin Love,W,24.61297,40.34548
Anderson Varejao,W,7.3272,19.51656
Anderson Varejao,W,4.30642,25.9966
Shawn Marion,W,19.61893,5.89671
Kevin Love,W,9.63892,9.93295
Kevin Love,W,9.4922,31.04535
Kevin Love,W,6.58459,24.89465
Tristan Thompson,W,13.95936,22.71402
Kevin Love,W,3.68376,41.35147
Tristan Thompson,W,5.15958,18.30144
Tristan Thompson,W,11.01128,21.42589
Tristan Thompson,W,6.8462,27.52305
Louis Amundson,W,3.67246,25.37763
Dion Waiters,W,4.5891,10.71692
Tristan Thompson,W,8.96733,25.62996
Tristan Thompson,W,8.1904,30.18549
Tristan Thompson,W,17.37913,42.93346
Tristan Thompson,W,8.74153,25.34111
Tristan Thompson,W,20.09388,43.71303
Dion Waiters,W,16.66649,37.03536
Tristan Thompson,W,7.66328,27.03595
Shawn Marion,W,26.63846,23.8587
Dion Waiters,W,11.53593,9.21787
Shawn Marion,W,10.52315,27.09324
Matthew Dellavedova,W,6.43827,16.09281
Kyrie Irving,W,21.66132,7.82757
Shawn Marion,W,2.88589,16.60324
Tristan Thompson,W,30.29906,29.1328
Kevin Love,W,2.45231,12.96979
LeBron James,W,21.13965,45.21366
Mike Miller,W,27.78652,4.5474
Kevin Love,W,9.09227,2.51451
Mike Miller,W,32.32466,20.76792
Anderson Varejao,W,4.45446,26.53683
Anderson Varejao,W,6.53725,5.8774
Kevin Love,W,18.08408,24.46727
Matthew Dellavedova,W,22.83094,23.66764
Matthew Dellavedova,W,21.97239,15.68272
Tristan Thompson,W,8.11603,9.76395
Anderson Varejao,W,12.29383,17.66874
Tristan Thompson,W,10.65346,25.34525
Tristan Thompson,W,3.45979,47.53321
Tristan Thompson,W,9.76428,20.53372
Kevin Love,W,6.88303,10.31736
Anderson Varejao,W,5.11254,36.0779
Anderson Varejao,W,22.79366,12.0943
Tristan Thompson,W,7.40133,17.90914
Tristan Thompson,W,4.95781,10.73227
Kevin Love,W,4.95408,2.68836
Tristan Thompson,W,7.3598,19.99665
Anderson Varejao,W,17.53005,34.89147
LeBron James,W,8.57818,27.82252
Anderson Varejao,W,9.55306,29.41371
Anderson Varejao,W,12.97099,25.56841
Tristan Thompson,W,5.13918,24.99806
Kevin Love,W,30.08275,24.33921
Anderson Varejao,W,10.23597,29.73757
Kevin Love,W,4.35565,11.70225
Tristan Thompson,W,6.59881,30.72603
Kevin Love,W,32.41144,28.4858
Matthew Dellavedova,W,20.96118,43.48902
Tristan Thompson,W,15.15786,20.65823
Tristan Thompson,W,3.36408,47.1165
Anderson Varejao,W,14.47362,3.53466
Anderson Varejao,W,12.6399,25.71543
Shawn Marion,W,13.3776,16.7797
Anderson Varejao,W,5.72083,20.79589
Tristan Thompson,W,28.02507,17.4379
Kevin Love,W,27.51512,25.10239
Shawn Marion,L,9.18857,23.64638
Shawn Marion,L,5.73784,46.66908
Tristan Thompson,L,10.27797,3.19719
Dion Waiters,L,14.9749,47.3744
Kevin Love,L,10.91959,25.28707
Tristan Thompson,L,24.07681,22.65993
A.J. Price,L,26.31816,13.88849
Dion Waiters,L,28.56908,39.6851
Kevin Love,W,4.31042,40.17241
Kevin Love,W,31.29283,15.2291
Tristan Thompson,W,7.30675,21.21962
Anderson Varejao,W,6.05937,22.95504
Kevin Love,W,8.19128,29.47416
Kevin Love,W,6.0333,22.00081
Tristan Thompson,W,5.7248,32.02484
Tristan Thompson,W,5.4778,47.71927
Tristan Thompson,W,6.41476,28.21057
Kyrie Irving,W,24.16241,6.63603
Matthew Dellavedova,W,2.97764,46.67599
Anderson Varejao,W,12.10726,27.38444
Dion Waiters,W,12.69117,39.32503
Anderson Varejao,W,11.07221,24.73468
Anderson Varejao,W,10.81854,28.96875
Kevin Love,W,14.98359,3.15908
Tristan Thompson,W,12.31134,10.93766
Tristan Thompson,W,6.9881,38.44139
Anderson Varejao,W,7.9493,22.63955
Anderson Varejao,W,5.85687,24.28215
